date,fiscal_year,fiscal_month,scenario,holding_id,company_id,cost_center_id,country_code,cash_currency,cash_amount
2022-01-31,2022,1,PRE,HOLD01,C001,C001_OP1,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_OP2,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_OP3,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_AD1,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_AD2,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_AD3,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_CO1,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_CO2,BR,BRL,1188534.43
2022-01-31,2022,1,PRE,HOLD01,C001,C001_CO3,BR,BRL,1188534.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_OP1,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_OP2,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_OP3,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_AD1,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_AD2,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_AD3,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_CO1,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_CO2,BR,BRL,1256729.43
2022-01-31,2022,1,POST,HOLD01,C001,C001_CO3,BR,BRL,1256729.43
2022-02-28,2022,2,PRE,HOLD01,C001,C001_OP1,BR,BRL,1188534.43
2022-02-28,2022,2,PRE,HOLD01,C001,C001_OP2,BR,BRL,1188534.43
2022-02-28,2022,2,PRE,HOLD01,C001,C001_OP3,BR,BRL,1188534.43
2022-02-28,2022,2,PRE,HOLD01,C001,C001_AD1,BR,BRL,1188534.43
